"","Sample","ID","Lab","NH4","NO3","Bank","Distance","Site","Incubation","Reach","Initial.Wet","Soil.Wet.Tin","Soil.Dry.Tin","NH4_Corr","NO3_Corr","Wet_Weight","Dry_Weight","GW","NH4_Conc","NO3_Conc","NetMin","NetNit"
"120",55,"Low3 RL 20m","98",0.39,0.11,"Left",20,"3","I","Low",10.39,58.222,28.646,0.38,0.07,55.1183333333333,25.5423333333333,1.15792083730278,7.89229950120362,1.45384464495856,0.9207171303124,0.768884008448916
"121",66,"Mid3 RL 1m ","44",0.32,0.14,"Left",1,"3","I","Mid",10.082,55.356,21.257,0.31,0.1,52.2523333333333,18.1533333333333,1.87838780756518,8.85042868820876,2.85497699619637,4.83683820836565,4.56174509625604
"122",67,"Mid3 RL 3m","80",1.28,0.76,"Left",3,"3","I","Mid",10.257,54.326,11.078,1.27,0.72,51.2223333333333,7.97433333333333,5.4234000752414,79.5331782739259,45.089675871832,9.19673001281921,13.4659110318528
"123",68,"Mid3 RL 6m","100",1.01,0.41,"Left",6,"3","I","Mid",10.72,48.609,9.823,1,0.37,45.5053333333333,6.71933333333333,5.77229883917055,63.1744294698746,23.3745389038536,2.07863596261362,4.61908678974994
"125",70,"Mid3 RL 20m","126",0.36,0.11,"Left",20,"3","I","Mid",10.025,56.529,26.841,0.35,0.07,53.4253333333333,23.7373333333333,1.25068808627759,7.85776389224097,1.57155277844819,1.72585091987428,0.929621292935911
"126",81,"Low2 RL 1m","120",0.54,0.09,"Left",1,"2","I","Low",10.224,52.998,13.985,0.53,0.05,49.8943333333333,10.8813333333333,3.58531429971817,23.7697239715437,2.24242678976828,3.25578232171581,-0.119674846175634
"127",82,"Low2 RL 3m","141",0.41,0.28,"Left",3,"2","I","Low",10.323,51.523,15.72,0.4,0.24,48.4193333333333,12.6163333333333,2.83782926893709,14.8709842833947,8.92259057003683,3.82909315861255,1.29245040738128
"128",83,"Low2 RL 6m","133",0.52,0.29,"Left",6,"2","I","Low",10.044,62.92,23.182,0.51,0.25,59.8163333333333,20.0783333333333,1.97914833568523,15.1270972839453,7.41524376663987,2.50969468616312,2.50045340322356
"129",84,"Low2 RL 10m","135",0.71,0.24,"Left",10,"2","I","Low",10.232,52.66,16.307,0.7,0.2,49.5563333333333,13.2033333333333,2.75331986872002,25.6775206030494,7.33643445801411,2.38250515735507,1.73737748346802
"130",85,"Low2 RL 20m","130",0.95,0.25,"Left",20,"2","I","Low",10.572,53.912,30.291,0.94,0.21,50.8083333333333,27.1873333333333,0.868823716927,16.6164802677959,3.71219240025227,0.435021508474517,-0.152210330440472
"131",86,"Low1 RL 1m","151",0.41,0.42,"Left",1,"1","I","Low",10.424,55.751,13.696,0.4,0.38,52.6473333333333,10.5923333333333,3.97032444850049,19.0726187586358,18.118987820704,3.54538123651634,3.60987903887519
"132",87,"Low1 RL 3m","149",11.2,0.34,"Left",3,"1","I","Low",10.11,53.767,21.551,11.19,0.3,50.6633333333333,18.4473333333333,1.74637707347042,303.975860060673,8.14948686489739,15.253573303479,8.280615367089
"133",88,"Low1 RL 6m","152",0.29,0.22,"Left",6,"1","I","Low",10.261,59.628,16.649,0.28,0.18,56.5243333333333,13.5453333333333,3.17297470223447,11.3871251985737,7.32029477051169,1.64745836452296,1.92562094089693
"134",89,"Low1 RL 10m","181",0.14,0.12,"Left",10,"1","I","Low",10.23,69.894,47.202,0.13,0.08,66.7903333333333,44.0983333333333,0.514577270493972,1.92468274842831,1.18442015287896,1.87842970706561,1.57931734468864
"135",90,"Low1 RL 20m","140",0.41,0.08,"Left",20,"1","I","Low",10.713,59.927,28.402,0.4,0.04,56.8233333333333,25.2983333333333,1.24612952104882,8.38655659870743,0.838655659870743,1.21895598672009,0.786070635574501
