"","Batch","Test","ID","Reach","Site","Bank","Distance","Peak.Area","N ug","d15N","d15NO3.Blank","d15NO3.Corr","diff.NO3.d15N"
"218",1,"NO3","UP3 RR10","Up",3,"Right",10,12.8373,5.7672,-10.365,-11.0657906473004,4.671012307148,-15.036012307148
"223",2,"NO3","UP3 RR6","Up",3,"Right",6,39.567,12.5913,-2.8058,-2.19600333651895,8.4470594058481,-11.2528594058481
"224",2,"NO3","UP3 RR1","Up",3,"Right",1,36.181,11.4815,-0.22521,0.755557304465638,11.3986200468327,-11.6238300468327
"225",2,"NO3","UP3 RR20","Up",3,"Right",20,41.559,13.2442,-3.0387,-2.48337726082193,8.15968548154513,-11.1983854815451
"226",2,"NO3","UP1 RR1","Up",1,"Right",1,6.639,2.2036,-5.2033,-3.22936489582703,7.41369784654003,-12.61699784654
"235",3,"NO3","UP2 RR20","Up",2,"Right",20,13.32,4.4531,-2.4344,-2.25953867642766,-2.50602744740328,0.0716274474032845
"236",3,"NO3","UP2 RR6","Up",2,"Right",6,12.976,4.3415,3.9392,7.30014457675919,7.05365580578356,-3.11445580578356
"237",3,"NO3","UP1 RR10","Up",1,"Right",10,12.1523,3.9734,-5.7713,-7.39536370362914,-7.64185247460476,1.87055247460476
"238",3,"NO3","UP1 RR6","Up",1,"Right",6,13.1343,4.2859,-7.2796,-9.5479316176299,-9.79442038860553,2.51482038860553
"239",3,"NO3","UP2 RR1","Up",2,"Right",1,279.0413,88.9095,4.9362,5.12461900224385,4.87813023126823,0.0580697687317722
"240",3,"NO3","UP1 RR3","Up",1,"Right",3,13.0813,4.2691,1.9225,4.31666941275679,4.07018064178116,-2.14768064178116
"241",3,"NO3","UP1 RR20","Up",1,"Right",20,38.0863,12.2268,-11.2425,-12.740049592698,-12.9865383636736,1.74403836367364
"242",3,"NO3","UP2 RR3 ","Up",2,"Right",3,29.1553,9.3846,-3.5702,-3.74951833003005,-3.99600710100568,0.425807101005676
"244",4,"NO3","UP2 RR10","Up",2,"Right",10,13.2623,4.7856,-3.6287,-2.14574932575504,5.35170023763811,-8.98040023763811
