"","Batch","Test","ID","Reach","Site","Bank","Distance","Peak.Area","N ug","d15N","d15NH4.Blank","d15NH4.Corr","diff.NH4.d15N"
"216",1,"NH4","UP3 RR10","Up",3,"Right",10,40.949,15.5159,10.8552,12.475604034571,13.3798604155225,-2.5246604155225
"219",2,"NH4","UP3 RR6","Up",3,"Right",6,19.4853,7.8692,11.5644,11.9941643787029,12.599580809438,-1.03518080943797
"220",2,"NH4","UP3 RR1","Up",3,"Right",1,72.1853,24.5316,8.5938,8.550944149949,9.15636058068406,-0.562560580684064
"221",2,"NH4","UP3 RR20","Up",3,"Right",20,60.2353,20.7533,6.3393,6.12652115417253,6.7319375849076,-0.392637584907598
"222",2,"NH4","UP1 RR1","Up",1,"Right",1,27.736,8.7135,11.3984,11.7580911668356,12.3635075975707,-0.96510759757069
"227",3,"NH4","UP2 RR20","Up",2,"Right",20,66.565,21.5317,3.5884,3.93403885857183,3.3116144005678,0.276785599432205
"228",3,"NH4","UP2 RR6","Up",2,"Right",6,44.248,14.3338,2.8908,2.9512757387744,2.32885128077036,0.56194871922964
"229",3,"NH4","UP1 RR10","Up",1,"Right",10,56.516,18.4714,4.2676,5.01708866957086,4.39466421156682,-0.12706421156682
"230",3,"NH4","UP1 RR6","Up",1,"Right",6,46.126,15.0995,3.2466,3.52611252322557,2.90368806522153,0.34291193477847
"231",3,"NH4","UP2 RR1","Up",2,"Right",1,109.978,35.8212,12.9333,15.5999919211094,14.9775674631054,-2.04426746310538
"232",3,"NH4","UP1 RR3","Up",1,"Right",3,58.247,19.0331,6.2486,7.9570106465987,7.33458618859467,-1.08598618859467
"233",3,"NH4","UP1 RR20","Up",1,"Right",20,82.87,27.0239,5.2675,6.12854630016804,5.506121842164,-0.238621842164005
"234",3,"NH4","UP2 RR3 ","Up",2,"Right",3,61.518,20.0946,10.4372,14.0200878443849,13.3976633863809,-2.96046338638091
"243",4,"NH4","UP2 RR10","Up",2,"Right",10,14.8593,5.2452,3.6317,2.81576964589847,3.26227707073667,0.369422929263334
