"","mass.norm","Reach","Site","Distance","Bank","Sample","ID.x","Lab","NH4","NO3","Incubation","Initial.Wet","Soil.Wet.Tin","Soil.Dry.Tin","NH4Corrected","NO3Corrected","Dry_Weight","Water_Weight","GW","NH4_Conc","NO3_Conc","ID.y","Replicate","Weight","pctN","d15N","pctC","d13C","C.N","massN","massN2"
"28",60.6358067666667,"Low","3",6,"Left",53,"Low3 RL 6m","132",0.69,0.21,"I",10.508,54.174,22.5,0.68,0.17,51.0703333333333,19.3963333333333,1.63298905291378,17.0387567185132,4.25968917962831,"L3-RL-6m",1,2.03,1.1873,10.9677,16.8156,-26.55,12.1455000488753,2.410219,11.873
"29",137.156338133333,"Low","3",6,"Right",58,"Low3 RR 6m","99",0.28,0.28,"I",10.43,57.213,18.008,0.27,0.24,54.1093333333333,14.9043333333333,2.63044304788317,9.39807883919899,8.35384785706577,"L3-RR-6m",1,2.023,2.5348,6.3253,29.0946,-27.0432,9.84310668272306,5.1279004,25.348
"30",114.3046525,"Mid","1",1,"Left",31,"Mid1 RL 1m ","113",0.83,0.15,"I",10.051,55.362,22.712,0.82,0.11,52.2583333333333,19.6083333333333,1.66510837229069,21.7429993560677,2.91674381605787,"M1-RL-1m",1,2.028,2.1873,3.3769,35.3898,-28.2178,13.8750084143642,4.4358444,21.873
"31",113.494577866667,"Mid","1",1,"Right",46,"Mid1 RR 1m","92",0.42,0.05,"I",10.085,57.159,12.833,0.41,0.01,54.0553333333333,9.72933333333333,4.555913389064,22.5872532426003,0.550908615673178,"M1-RR-1m",1,2.033,2.0996,6.7839,26.3543,-27.0563,10.7641172831664,4.2684868,20.996
"32",58.4011066133333,"Mid","1",10,"Right",49,"Mid1 RR 10m","125",0.31,0.07,"I",10.714,75.393,38.351,0.3,0.03,72.2893333333333,35.2473333333333,1.0509163813811,5.74271900704059,0.57427190070406,"M1-RR-10m",1,2.038,0.80788,7.9857,12.9895,-26.3884,13.7882477177898,1.64645944,8.0788
"33",82.9848533333333,"Mid","1",20,"Left",35,"Mid1 RL 20m","136",0.41,0.21,"I",10.119,62.805,18.915,0.4,0.17,59.7013333333333,15.8113333333333,2.77585698022516,14.9258107727054,6.3434695783998,"M1-RL-20m",1,2.007,1.39,6.3862,25.7593,-25.9687,15.8921536986765,2.78973,13.9
"34",59.3506881,"Mid","1",20,"Right",50,"Mid1 RR 20m","90",0.29,0.08,"I",10.535,81.442,41.543,0.28,0.04,78.3383333333333,38.4393333333333,1.03797325656012,5.41654021677108,0.773791459538726,"M1-RR-20m",1,2.016,0.75762,6.3589,15.6909,-26.2538,17.7606936616008,1.52736192,7.5762
"35",114.7469052,"Mid","1",3,"Left",32,"Mid1 RL 3m","103",0.24,0.08,"I",10.706,59.971,20.383,0.23,0.04,56.8673333333333,17.2793333333333,2.29106061190632,7.07027779505375,1.22961352957457,"M1-RL-3m",1,2.029,2.0178,8.4071,27.088,-26.5481,11.5123059510923,4.0941162,20.178
"36",118.123018333333,"Mid","1",3,"Right",47,"Mid1 RR 3m","112",0.84,0.41,"I",10.585,58.967,17.08,0.83,0.37,55.8633333333333,13.9763333333333,2.99699491998378,31.3415756597689,13.9715457760416,"M1-RR-3m",1,2.018,2.1145,6.9683,24.9793,-27.2369,10.130621142421,4.267061,21.145
"37",190.818898533333,"Mid","1",6,"Left",33,"Mid1 RL 6m","121",7.24,0.56,"I",10.501,74.249,21.998,7.23,0.52,71.1453333333333,18.8943333333333,2.76543231656758,259.252220253153,18.6460794649571,"M1-RL-6m",1,2.039,2.6821,7.2223,31.5659,-27.0498,10.0926847956991,5.4688019,26.821
"38",75.1879954666667,"Mid","1",6,"Right",48,"Mid1 RR 6m","106",0.33,0.17,"I",10.569,67.323,35.033,0.32,0.13,64.2193333333333,31.9293333333333,1.01129577817681,6.08964565253646,2.47391854634294,"M1-RR-6m",1,2.017,1.1708,8.026,18.5791,-26.1492,13.6083496163999,2.3615036,11.708
"39",113.703186666667,"Mid","2",1,"Left",36,"Mid2 RL 1m","159",0.42,0.25,"I",10.597,66.625,20.346,0.41,0.21,63.5213333333333,17.2423333333333,2.68403348348058,14.2535975108714,7.30062311532436,"M2-RL-1m",1,2.015,1.79,8.101,24.6058,-27.223,11.7882125669266,3.60685,17.9
"40",90.4000663333333,"Mid","2",10,"Left",39,"Mid2 RL 10m","124",0.37,0.18,"I",10.376,50.016,20.834,0.36,0.14,46.9123333333333,17.7303333333333,1.64587994209547,9.17999979909761,3.56999992187129,"M2-RL-10m",1,2.003,1.927,10.4842,31.5373,-26.1683,14.0348021442186,3.859781,19.27
