"","ID","Reach","Site","Distance","Bank","massN","massNH4","massNO3","OrgN","C.N"
"34","M1-RR-20m","Mid",1,20,"Right",1.52736192,0.000109197450770105,1.55996358243007e-05,1527.23712291341,17.7606936616008
"35","M1-RL-3m","Mid",1,3,"Left",4.0941162,0.000143455936461641,2.49488585150679e-05,4093.94779520502,11.5123059510923
"36","M1-RR-3m","Mid",1,3,"Right",4.267061,0.000632472996814137,0.000281945793760519,4266.14658120942,10.130621142421
"37","M1-RL-6m","Mid",1,6,"Left",5.4688019,0.00528615277096179,0.000380193560290474,5463.13555366875,10.0926847956991
"38","M1-RR-6m","Mid",1,6,"Right",2.3615036,0.00012282815281166,4.9898937079737e-05,2361.33087291011,13.6083496163999
"39","M2-RL-1m","Mid",2,1,"Left",3.60685,0.000287209989844058,0.000147107555773786,3606.41568245438,11.7882125669266
"40","M2-RL-10m","Mid",2,10,"Left",3.859781,0.000183875395975925,7.1507098435082e-05,3859.52561750559,14.0348021442186
"41","M2-RR-10m","Mid",2,10,"Right",5.63124,0.000242122154166161,1.72944395832973e-05,5630.98058340625,10.614950510617
"42","M2-RL-20m","Mid",2,20,"Left",3.0106874,0.000161756356053196,0.000171559771571571,3010.35408387237,15.035991318156
"43","M2-RR-20m","Mid",2,20,"Right",2.3878614,0.000171365678494504,7.97049667416295e-06,2387.68206382483,16.3575179109474
"44","M2-RL-3m","Mid",2,3,"Left",4.5620322,0.000286595438382365,0.000203390311110065,4561.54221425051,12.7721289060096
"45","M2-RR-3m","Mid",2,3,"Right",5.5731627,8.37553816499065e-05,8.37553816499065e-06,5573.07056908019,10.4158012189337
"46","M2-RL-6m","Mid",2,6,"Left",2.9558053,0.000100002674638619,4.16677810994245e-05,2955.66362954426,13.3259265184721
"47","M2-RR-6m","Mid",2,6,"Right",4.6916177,0.000137426264794901,1.37426264794901e-05,4691.46653110873,11.9496646932434
"48","M3-RL-1m","Mid",3,1,"Left",5.7002427,0.000178690155214935,5.76419855532048e-05,5700.00636785923,10.3610124667933
"49","M3-RR-1m","Mid",3,1,"Right",3.5756525,0.00103086597728564,2.10380811690947e-05,3574.60059594155,12.9249879421188
"50","M3-RR-10m","Mid",3,10,"Right",3.6428964,0.000105788656749871,2.29975340760589e-05,3642.76761380917,10.7780760769787
"51","M3-RL-20m","Mid",3,20,"Left",1.95645375,0.00015911971881788,3.18239437635759e-05,1956.26280633742,16.7737509327195
"52","M3-RR-20m","Mid",3,20,"Right",2.7960438,0.000828015804389954,8.22532256016511e-05,2795.13353097001,12.9279634149119
"53","M3-RL-3m","Mid",3,3,"Left",6.139491,0.00165826676701135,0.000940119741927697,6136.89261349106,10.0268408936585
"54","M3-RR-3m","Mid",3,3,"Right",4.1744523,8.76114183663217e-05,8.17706571419002e-05,4174.28291792449,9.0247887435256
"55","M3-RL-6m","Mid",3,6,"Left",5.0183936,0.00126854254375508,0.00046936074118938,5016.65569671506,14.0645756076818
"56","M3-RR-6m","Mid",3,6,"Right",5.509971,0.000100560733394947,1.4365819056421e-05,5509.85607344755,9.5793075362354
"57","U1-RL-1m","Up",1,1,"Left",4.366634,0.000252832652041032,2.97450178871803e-05,4366.35142233007,13.062436667396
"58","U1-RR-1m","Up",1,1,"Right",5.5155065,0.000147353423563993,4.21009781611409e-05,5515.31704559827,11.7830103590333
"59","U1-RL-10m","Up",1,10,"Left",2.0505132,7.30338659082007e-05,6.20787860219706e-05,2050.37808734807,16.6055644666594
"60","U1-RR-10m","Up",1,10,"Right",5.8129569,0.000550012624527432,0.000179351942780684,5812.22753543269,11.8814955522749
"61","U1-RL-20m","Up",1,20,"Left",1.45339338,9.90223199703974e-05,1.88613942800757e-05,1453.27549628575,15.1877447133945
"62","U1-RR-20m","Up",1,20,"Right",4.638964,0.000258906901378799,3.34073421133934e-05,4638.67168575651,14.5747768749812
"63","U1-RL-3m","Up",1,3,"Left",2.8178432,0.000204391265032246,3.6857441235323e-05,2817.60195129373,14.185950089409
"64","U1-RR-3m","Up",1,3,"Right",5.5540671,0.000340991249630678,3.40991249630678e-05,5553.69200962541,10.936085554515
"65","U1-RL-6m","Up",1,6,"Left",2.8361304,7.53692823292878e-05,4.30681613310216e-05,2836.01196255634,14.0375481936583
"66","U1-RR-6m","Up",1,6,"Right",5.5915748,0.00087848635878369,0.000130146127227213,5590.56616751399,13.6548815657672
"67","U2-RL-1m","Up",2,1,"Left",3.195553,0.00602082536120444,6.51486964242139e-05,3189.46702594237,13.8319713863744
"68","U2-RL-10m","Up",2,10,"Left",1.51931781,0.000725466970518532,5.11740186672823e-05,1518.54116901081,17.0173952751545
"69","U2-RR-10m","Up",2,10,"Right",5.4079928,0.000259068284733492,0.000194301213550119,5407.53943050172,12.9971198347229
"70","U2-RL-20m","Up",2,20,"Left",1.06463122,8.50188094043163e-05,5.00110643554802e-06,1064.54120008416,17.9786383236965
"71","U2-RR-20m","Up",2,20,"Right",1.9296516,0.000128686937585016,3.91655896997875e-05,1929.48374747272,14.4261934346059
"72","U2-RL-3m","Up",2,3,"Left",0.98791988,0.00135989657042808,0.000282619091653758,986.277364337918,13.9277403799972
"73","U2-RR-3m","Up",2,3,"Right",6.037072,0.000148931823726429,0.000206849755175595,6036.7162184211,11.8991872398387
"74","U2-RL-6m","Up",2,6,"Left",2.0353452,0.00177821599984771,5.68379543330318e-05,2033.51014604582,17.372577849045
"75","U2-RR-6m","Up",2,6,"Right",4.7437452,7.1483292871049e-05,2.38277642903497e-05,4743.64988894284,16.7759691919572
"76","U3-RL-1m","Up",3,1,"Left",4.5584643,9.36922178799918e-05,9.99383657386579e-05,4558.27066941638,9.97965834867474
"77","U3-RR-1m","Up",3,1,"Right",4.9070473,0.000378796809910998,5.50977178052361e-05,4906.61340547228,12.0201304658645
"78","U3-RL-10m","Up",3,10,"Left",2.1870712,0.000145096478361563,1.9607632211022e-05,2186.90649588943,13.6996925302962
"79","U3-RR-10m","Up",3,10,"Right",1.75037874,5.59102045460178e-05,0.000205004083335398,1750.11782571212,15.5675697180674
"80","U3-RL-20m","Up",3,20,"Left",1.42734696,9.44239819636304e-05,4.1966214206058e-05,1427.21056980383,18.4896092848619
"81","U3-RR-20m","Up",3,20,"Right",2.2035366,0.000317165895235236,2.6430491269603e-05,2203.19300361349,13.8979554103086
"82","U3-RL-3m","Up",3,3,"Left",2.4981768,0.000156018590568805,0.000110855314351519,2497.90992609508,10.4613824169137
"83","U3-RR-3m","Up",3,3,"Right",1.83586816,3.87859751240519e-05,7.05199547710034e-06,1835.8223220294,14.4544661141517
"84","U3-RL-6m","Up",3,6,"Left",4.2582936,0.000211713773169715,1.17618762872064e-05,4258.07012435054,11.4149084429096
"85","U3-RR-6m","Up",3,6,"Right",1.63430779,6.20206029204761e-05,2.71340137777083e-05,1634.2186353833,14.522981584793
